LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
SWE;STINT;TOT;PC_PA;Q;1996-Q1;7.643333;
SWE;STINT;TOT;PC_PA;Q;1996-Q2;6.076667;
SWE;STINT;TOT;PC_PA;Q;1996-Q3;5.133333;
SWE;STINT;TOT;PC_PA;Q;1996-Q4;4.306667;
SWE;STINT;TOT;PC_PA;Q;1997-Q1;3.94;
SWE;STINT;TOT;PC_PA;Q;1997-Q2;4.056667;
SWE;STINT;TOT;PC_PA;Q;1997-Q3;4.113333;
SWE;STINT;TOT;PC_PA;Q;1997-Q4;4.32;
SWE;STINT;TOT;PC_PA;Q;1998-Q1;4.406667;
SWE;STINT;TOT;PC_PA;Q;1998-Q2;4.386667;
SWE;STINT;TOT;PC_PA;Q;1998-Q3;4.163333;
SWE;STINT;TOT;PC_PA;Q;1998-Q4;3.793333;
SWE;STINT;TOT;PC_PA;Q;1999-Q1;3.18;
SWE;STINT;TOT;PC_PA;Q;1999-Q2;2.92;
SWE;STINT;TOT;PC_PA;Q;1999-Q3;3.02;
SWE;STINT;TOT;PC_PA;Q;1999-Q4;3.34;
SWE;STINT;TOT;PC_PA;Q;2000-Q1;3.843333;
SWE;STINT;TOT;PC_PA;Q;2000-Q2;3.963333;
SWE;STINT;TOT;PC_PA;Q;2000-Q3;3.99;
SWE;STINT;TOT;PC_PA;Q;2000-Q4;4.02;
SWE;STINT;TOT;PC_PA;Q;2001-Q1;4.076667;
SWE;STINT;TOT;PC_PA;Q;2001-Q2;4.04;
SWE;STINT;TOT;PC_PA;Q;2001-Q3;4.2;
SWE;STINT;TOT;PC_PA;Q;2001-Q4;3.705;
SWE;STINT;TOT;PC_PA;Q;2002-Q1;3.9;
SWE;STINT;TOT;PC_PA;Q;2002-Q2;4.273334;
SWE;STINT;TOT;PC_PA;Q;2002-Q3;4.206666;
SWE;STINT;TOT;PC_PA;Q;2002-Q4;3.883333;
SWE;STINT;TOT;PC_PA;Q;2003-Q1;3.553333;
SWE;STINT;TOT;PC_PA;Q;2003-Q2;3.136667;
SWE;STINT;TOT;PC_PA;Q;2003-Q3;2.7;
SWE;STINT;TOT;PC_PA;Q;2003-Q4;2.716667;
SWE;STINT;TOT;PC_PA;Q;2004-Q1;2.473333;
SWE;STINT;TOT;PC_PA;Q;2004-Q2;1.996667;
SWE;STINT;TOT;PC_PA;Q;2004-Q3;1.993333;
SWE;STINT;TOT;PC_PA;Q;2004-Q4;1.993333;
SWE;STINT;TOT;PC_PA;Q;2005-Q1;1.98;
SWE;STINT;TOT;PC_PA;Q;2005-Q2;1.846667;
SWE;STINT;TOT;PC_PA;Q;2005-Q3;1.476667;
SWE;STINT;TOT;PC_PA;Q;2005-Q4;1.563333;
SWE;STINT;TOT;PC_PA;Q;2006-Q1;1.906667;
SWE;STINT;TOT;PC_PA;Q;2006-Q2;2.123333;
SWE;STINT;TOT;PC_PA;Q;2006-Q3;2.416667;
SWE;STINT;TOT;PC_PA;Q;2006-Q4;2.88;
SWE;STINT;TOT;PC_PA;Q;2007-Q1;3.253333;
SWE;STINT;TOT;PC_PA;Q;2007-Q2;3.396667;
SWE;STINT;TOT;PC_PA;Q;2007-Q3;3.576667;
SWE;STINT;TOT;PC_PA;Q;2007-Q4;3.983333;
SWE;STINT;TOT;PC_PA;Q;2008-Q1;4.186666;
SWE;STINT;TOT;PC_PA;Q;2008-Q2;4.14;
SWE;STINT;TOT;PC_PA;Q;2008-Q3;4.41;
SWE;STINT;TOT;PC_PA;Q;2008-Q4;2.883333;
SWE;STINT;TOT;PC_PA;Q;2009-Q1;0.8666667;
SWE;STINT;TOT;PC_PA;Q;2009-Q2;0.3866667;
SWE;STINT;TOT;PC_PA;Q;2009-Q3;0.1633333;
SWE;STINT;TOT;PC_PA;Q;2009-Q4;0.1766667;
SWE;STINT;TOT;PC_PA;Q;2010-Q1;0.2166667;
SWE;STINT;TOT;PC_PA;Q;2010-Q2;0.28;
SWE;STINT;TOT;PC_PA;Q;2010-Q3;0.4533333;
SWE;STINT;TOT;PC_PA;Q;2010-Q4;1.066667;
SWE;STINT;TOT;PC_PA;Q;2011-Q1;1.656667;
SWE;STINT;TOT;PC_PA;Q;2011-Q2;1.853333;
SWE;STINT;TOT;PC_PA;Q;2011-Q3;1.696667;
SWE;STINT;TOT;PC_PA;Q;2011-Q4;1.423333;
SWE;STINT;TOT;PC_PA;Q;2012-Q1;1.546667;
SWE;STINT;TOT;PC_PA;Q;2012-Q2;1.353333;
SWE;STINT;TOT;PC_PA;Q;2012-Q3;1.096667;
SWE;STINT;TOT;PC_PA;Q;2012-Q4;1.016667;
SWE;STINT;TOT;PC_PA;Q;2013-Q1;0.97;
SWE;STINT;TOT;PC_PA;Q;2013-Q2;0.93;
SWE;STINT;TOT;PC_PA;Q;2013-Q3;0.9166667;
SWE;STINT;TOT;PC_PA;Q;2013-Q4;0.8866667;
SWE;STINT;TOT;PC_PA;Q;2014-Q1;0.73;
SWE;STINT;TOT;PC_PA;Q;2014-Q2;0.6466666;
SWE;STINT;TOT;PC_PA;Q;2014-Q3;0.2233333;
SWE;STINT;TOT;PC_PA;Q;2014-Q4;0.08333334;
SWE;STINT;TOT;PC_PA;Q;2015-Q1;-0.006666667;
SWE;STINT;TOT;PC_PA;Q;2015-Q2;-0.2833333;
SWE;STINT;TOT;PC_PA;Q;2015-Q3;-0.4733333;
SWE;STINT;TOT;PC_PA;Q;2015-Q4;-0.3933333;
SWE;STINT;TOT;PC_PA;Q;2016-Q1;-0.5166667;
SWE;STINT;TOT;PC_PA;Q;2016-Q2;-0.6066667;
SWE;STINT;TOT;PC_PA;Q;2016-Q3;-0.72;
SWE;STINT;TOT;PC_PA;Q;2016-Q4;-0.7766666;
SWE;STINT;TOT;PC_PA;Q;2017-Q1;-0.6966667;
SWE;STINT;TOT;PC_PA;Q;2017-Q2;-0.64;
SWE;STINT;TOT;PC_PA;Q;2017-Q3;-0.73;
SWE;STINT;TOT;PC_PA;Q;2017-Q4;-0.7133333;
SWE;STINT;TOT;PC_PA;Q;2018-Q1;-0.67;
SWE;STINT;TOT;PC_PA;Q;2018-Q2;-0.6833333;
SWE;STINT;TOT;PC_PA;Q;2018-Q3;-0.6933333;
SWE;STINT;TOT;PC_PA;Q;2018-Q4;-0.6966667;
SWE;STINT;TOT;PC_PA;Q;2019-Q1;-0.4133333;
SWE;STINT;TOT;PC_PA;Q;2019-Q2;-0.4;
SWE;STINT;TOT;PC_PA;Q;2019-Q3;-0.4133333;
SWE;STINT;TOT;PC_PA;Q;2019-Q4;-0.4566667;
SWE;STINT;TOT;PC_PA;Q;2020-Q1;-0.1566667;
SWE;STINT;TOT;PC_PA;Q;2020-Q2;-0.13;
SWE;STINT;TOT;PC_PA;Q;2020-Q3;-0.11;
SWE;STINT;TOT;PC_PA;Q;2020-Q4;-0.1433333;
SWE;STINT;TOT;PC_PA;Q;2021-Q1;-0.1466667;
SWE;STINT;TOT;PC_PA;Q;2021-Q2;-0.1533333;
SWE;STINT;TOT;PC_PA;Q;2021-Q3;-0.1633333;
SWE;STINT;TOT;PC_PA;Q;2021-Q4;-0.3133333;
SWE;STINT;TOT;PC_PA;Q;2022-Q1;-0.1733333;
SWE;STINT;TOT;PC_PA;Q;2022-Q2;0.24;
SWE;STINT;TOT;PC_PA;Q;2022-Q3;1.14;